"Date","Year","Month","Week","Disease","Cases","URL","Country","Method","PopulationRaw","Population","PopulationCountry","CasesRaw","RawIncidence","OfficialAnnualCases","AnnualCaseSource","AnnualCaseNotes","AnnualRawCases","AdjustmentFactor","AnalysisCases","AnalysisIncidence","Incidence"
2015-01-01,2015,1,NA,"pertussis",1487,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",23948002,239.48002,"Australia",1487,6.20928626947668,NA,"Reporting-interval sum","",22570,1,1487,6.20928626947668,6.20928626947668
2015-02-01,2015,2,NA,"pertussis",1240,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",23948002,239.48002,"Australia",1240,5.17788498597921,NA,"Reporting-interval sum","",22570,1,1240,5.17788498597921,5.17788498597921
2015-03-01,2015,3,NA,"pertussis",1360,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",23948002,239.48002,"Australia",1360,5.67897062978365,NA,"Reporting-interval sum","",22570,1,1360,5.67897062978365,5.67897062978365
2015-04-01,2015,4,NA,"pertussis",1199,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",23948002,239.48002,"Australia",1199,5.00668072434602,NA,"Reporting-interval sum","",22570,1,1199,5.00668072434602,5.00668072434602
2015-05-01,2015,5,NA,"pertussis",1399,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",23948002,239.48002,"Australia",1399,5.84182346402009,NA,"Reporting-interval sum","",22570,1,1399,5.84182346402009,5.84182346402009
2015-06-01,2015,6,NA,"pertussis",1589,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",23948002,239.48002,"Australia",1589,6.63520906671045,NA,"Reporting-interval sum","",22570,1,1589,6.63520906671045,6.63520906671045
2015-07-01,2015,7,NA,"pertussis",1660,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",23948002,239.48002,"Australia",1660,6.93168473929474,NA,"Reporting-interval sum","",22570,1,1660,6.93168473929474,6.93168473929474
2015-08-01,2015,8,NA,"pertussis",2054,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",23948002,239.48002,"Australia",2054,8.57691593645265,NA,"Reporting-interval sum","",22570,1,2054,8.57691593645265,8.57691593645265
2015-09-01,2015,9,NA,"pertussis",1940,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",23948002,239.48002,"Australia",1940,8.10088457483844,NA,"Reporting-interval sum","",22570,1,1940,8.10088457483844,8.10088457483844
2015-10-01,2015,10,NA,"pertussis",2548,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",23948002,239.48002,"Australia",2548,10.6397185034476,NA,"Reporting-interval sum","",22570,1,2548,10.6397185034476,10.6397185034476
2015-11-01,2015,11,NA,"pertussis",3259,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",23948002,239.48002,"Australia",3259,13.6086509429889,NA,"Reporting-interval sum","",22570,1,3259,13.6086509429889,13.6086509429889
2015-12-01,2015,12,NA,"pertussis",2835,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",23948002,239.48002,"Australia",2835,11.8381483348799,NA,"Reporting-interval sum","",22570,1,2835,11.8381483348799,11.8381483348799
2016-01-01,2016,1,NA,"pertussis",2317,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",24329963,243.29963,"Australia",2317,9.52323684174941,NA,"Reporting-interval sum","",20117,1,2317,9.52323684174941,9.52323684174941
2016-02-01,2016,2,NA,"pertussis",1940,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",24329963,243.29963,"Australia",1940,7.97370715278112,NA,"Reporting-interval sum","",20117,1,1940,7.97370715278112,7.97370715278112
2016-03-01,2016,3,NA,"pertussis",1635,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",24329963,243.29963,"Australia",1635,6.72010886329749,NA,"Reporting-interval sum","",20117,1,1635,6.72010886329749,6.72010886329749
2016-04-01,2016,4,NA,"pertussis",1338,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",24329963,243.29963,"Australia",1338,5.49939184042327,NA,"Reporting-interval sum","",20117,1,1338,5.49939184042327,5.49939184042327
2016-05-01,2016,5,NA,"pertussis",1325,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",24329963,243.29963,"Australia",1325,5.44595978218298,NA,"Reporting-interval sum","",20117,1,1325,5.44595978218298,5.44595978218298
2016-06-01,2016,6,NA,"pertussis",1213,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",24329963,243.29963,"Australia",1213,4.98562204965129,NA,"Reporting-interval sum","",20117,1,1213,4.98562204965129,4.98562204965129
2016-07-01,2016,7,NA,"pertussis",1250,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",24329963,243.29963,"Australia",1250,5.13769790771979,NA,"Reporting-interval sum","",20117,1,1250,5.13769790771979,5.13769790771979
2016-08-01,2016,8,NA,"pertussis",1600,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",24329963,243.29963,"Australia",1600,6.57625332188134,NA,"Reporting-interval sum","",20117,1,1600,6.57625332188134,6.57625332188134
2016-09-01,2016,9,NA,"pertussis",1921,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",24329963,243.29963,"Australia",1921,7.89561414458378,NA,"Reporting-interval sum","",20117,1,1921,7.89561414458378,7.89561414458378
2016-10-01,2016,10,NA,"pertussis",1903,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",24329963,243.29963,"Australia",1903,7.82163129471261,NA,"Reporting-interval sum","",20117,1,1903,7.82163129471261,7.82163129471261
2016-11-01,2016,11,NA,"pertussis",2039,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",24329963,243.29963,"Australia",2039,8.38061282707253,NA,"Reporting-interval sum","",20117,1,2039,8.38061282707253,8.38061282707253
2016-12-01,2016,12,NA,"pertussis",1636,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",24329963,243.29963,"Australia",1636,6.72421902162367,NA,"Reporting-interval sum","",20117,1,1636,6.72421902162367,6.72421902162367
2017-01-01,2017,1,NA,"pertussis",1364,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",24731038.5,247.310385,"Australia",1364,5.51533652741675,NA,"Reporting-interval sum","",12235,1,1364,5.51533652741675,5.51533652741675
2017-02-01,2017,2,NA,"pertussis",1012,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",24731038.5,247.310385,"Australia",1012,4.09202387518017,NA,"Reporting-interval sum","",12235,1,1012,4.09202387518017,4.09202387518017
2017-03-01,2017,3,NA,"pertussis",1053,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",24731038.5,247.310385,"Australia",1053,4.25780745115091,NA,"Reporting-interval sum","",12235,1,1053,4.25780745115091,4.25780745115091
2017-04-01,2017,4,NA,"pertussis",843,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",24731038.5,247.310385,"Australia",843,3.40867206203249,NA,"Reporting-interval sum","",12235,1,843,3.40867206203249,3.40867206203249
2017-05-01,2017,5,NA,"pertussis",1043,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",24731038.5,247.310385,"Australia",1043,4.21737243262146,NA,"Reporting-interval sum","",12235,1,1043,4.21737243262146,4.21737243262146
